Time(s),Force(N)
0,11.51538849
0.05,11.01971436
0.1,10.42695618
0.15,9.910842896
0.2,9.760101318
0.25,9.670677185
0.3,9.696228027
0.35,9.657897949
0.4,9.540367126
0.45,9.300201416
0.5,9.108573914
0.55,8.817306519
0.6,8.651229858
0.65,8.413612366
0.7,8.283309937
0.75,8.214324951
0.8,8.237319946
0.85,8.285865784
0.9,8.375289917
0.95,8.53881073
1,8.684448242
1.05,8.689552307
1.1,8.888847351
1.15,9.100914001
1.2,9.289978027
1.25,9.376853943
1.3,9.473937988
1.35,9.502044678
1.4,9.548034668
1.45,9.599136353
1.5,9.760101318
1.55,9.926177979
1.6,10.21744537
1.65,10.42184448
1.7,10.71056366
1.75,10.87663269
1.8,11.12191772
1.85,11.28032684
1.9,11.49749756
1.95,11.65846252
2,11.82198334
2.05,12.03660583
2.1,12.1618042
2.15,12.29466248
2.2,12.35853577
2.25,12.46328735
2.3,12.53227234
2.35,12.61659241
2.4,12.61659241
2.45,12.53482819
2.5,12.4658432
2.55,12.30487823
2.6,11.98550415
2.65,11.59458923
2.7,11.5230484
2.75,11.20623016
2.8,10.96095276
2.85,10.72844696
2.9,10.6032486
2.95,10.49338531
3,10.35541534
3.05,10.28643036
3.1,10.22766876
3.15,10.14334869
3.2,9.995162964
3.25,9.982383728
3.3,10.00793457
3.35,9.954277039
3.4,9.808647156
3.45,9.714111328
3.5,9.591468811
3.55,9.509712219
3.6,9.40750885
3.65,9.364074707
3.7,9.289978027
3.75,9.233772278
3.8,9.182670593
3.85,9.177558899
3.9,9.197998047
3.95,9.254211426
4,9.312973022
4.05,9.33341217
4.1,9.302757263
4.15,9.238883972
4.2,9.215888977
4.25,9.236328125
4.3,9.226104736
4.35,9.113685608
4.4,9.014038086
4.45,8.906730652
4.5,8.842857361
4.55,8.743209839
4.6,8.692108154
4.65,8.671669006
4.7,8.689552307
4.75,8.70488739
4.8,8.712547302
4.85,8.727882385
4.9,8.743209839
4.95,8.748321533
5,8.76109314
5.05,8.771316528
5.1,8.77898407
5.15,8.789199829
5.2,8.796867371
5.25,8.801979065
5.3,8.781532288
5.35,8.748321533
5.4,8.707443237
5.45,8.687004089
5.5,8.684448242
5.55,8.702331543
5.6,8.738098145
5.65,8.758537292
5.7,8.786643982
5.75,8.799423218
5.8,8.80708313
5.85,8.812194824
5.9,8.819862366
5.95,8.830078125
6,8.837745667
6.05,8.850517273
6.1,8.850517273
6.15,8.840301514
6.2,8.82497406
6.25,8.77898407
6.3,8.745765686
6.35,8.715103149
6.4,8.727882385
6.45,8.755989075
6.5,8.773872375
6.55,8.804527283
6.6,8.817306519
6.65,8.82497406
6.7,8.82497406
6.75,8.830078125
6.8,8.837745667
6.85,8.845413208
6.9,8.850517273
6.95,8.860740662
7,8.868408203
7.05,8.863296509
7.1,8.832633972
7.15,8.794311523
7.2,8.735542297
7.25,8.715103149
7.3,8.720214844
7.35,8.730438232
7.4,8.755989075
7.45,8.77898407
7.5,8.814750671
7.55,8.830078125
7.6,8.835189819
7.65,8.832633972
7.7,8.835189819
7.75,8.835189819
7.8,8.840301514
7.85,8.845413208
7.9,8.850517273
7.95,8.842857361
8,8.82497406
8.05,8.763648987
8.1,8.730438232
8.15,8.722770691
8.2,8.73299408
8.25,8.766204834
8.3,8.791755676
8.35,8.804527283
8.4,8.814750671
8.45,8.827522278
8.5,8.832633972
8.55,8.88117981
8.6,8.952720642
8.65,9.100914001
8.7,9.210777283
8.75,9.366630554
8.8,9.448387146
8.85,9.52759552
8.9,9.563362122
8.95,9.611907959
9,9.731994629
9.05,9.826530457
9.1,9.974723816
9.15,10.07691956
9.2,10.20722198
9.25,10.28898621
9.3,10.41417694
9.35,10.49594116
9.4,10.60836029
9.45,10.67478943
9.5,10.7769928
9.55,10.83831024
9.6,10.88430023
9.65,10.87918854
9.7,10.8536377
9.75,10.84342194
9.8,10.85108185
9.85,10.86641693
9.9,10.86386108
9.95,10.84086609
10,10.81020355
10.05,10.74121857
10.1,10.67990112
10.15,10.58792114
10.2,10.51382446
10.25,10.37841034
10.3,10.28643036
10.35,10.16889954
10.4,10.07691956
10.45,9.903182983
10.5,9.788208008
10.55,9.642570496
10.6,9.571029663
10.65,9.479049683
10.7,9.412620544
10.75,9.310417175
10.8,9.249099731
10.85,9.16734314
10.9,9.095802307
10.95,9.001266479
11,8.962944031
11.05,8.919502258
11.1,8.865852356
11.15,8.835189819
11.2,8.776428223
11.25,8.722770691
11.3,8.633346558
11.35,8.592468262
11.4,8.564361572
11.45,8.564361572
11.5,8.564361572
11.55,8.569473267
11.6,8.572029114
11.65,8.574577332
11.7,8.572029114
11.75,8.566917419
11.8,8.572029114
11.85,8.574577332
11.9,8.577133179
11.95,8.577133179
12,8.574577332
12.05,8.566917419
12.1,8.551582336
12.15,8.510704041
12.2,8.487709045
12.25,8.485153198
12.3,8.469825745
12.35,8.398284912
12.4,8.362518311
12.45,8.395729065
12.5,8.462158203
12.55,8.589912415
12.6,8.687004089
12.65,8.840301514
12.7,8.937393188
12.75,8.960388184
12.8,8.909286499
12.85,8.886291504
12.9,8.906730652
12.95,8.934837341
13,8.980827332
13.05,8.991043091
13.1,9.008934021
13.15,9.042144775
13.2,9.085578918
13.25,9.098358154
13.3,9.09324646
13.35,9.088134766
13.4,9.100914001
13.45,9.13923645
13.5,9.157119751
13.55,9.037033081
13.6,8.893959045
13.65,8.965492249
13.7,9.31552887
13.75,9.882743835
13.8,10.04881287
13.85,10.09480286
13.9,10.20467377
13.95,10.40651703
14,10.38352203
14.05,10.39629364
14.1,10.42695618
14.15,10.22511292
14.2,9.864852905
14.25,9.762657166
14.3,9.726882935
14.35,9.64768219
14.4,9.466278076
14.45,9.412620544
14.5,9.330863953
14.55,9.284873962
14.6,9.468833923
14.65,9.655342102
14.7,9.890403748
14.75,10.0845871
14.8,10.17145538
14.85,10.17401123
14.9,10.30686951
14.95,10.41162872
15,10.5802536
15.05,10.94561768
15.1,11.17301178
15.15,11.45150757
15.2,11.5230484
15.25,11.57415009
15.3,11.74022675
15.35,12.08515167
15.4,12.24356079
15.45,12.34576416
15.5,12.36109161
