window,dom_fre_gt,dom_fre_pre,mae_per_window,rmse_per_window,mean of MAE,mean of RMSE
1,0.2,0.15000000000000002,0.05000000000000002,0.05000000000000002,0.06,0.06
2,0.2,0.15000000000000002,0.05000000000000002,0.05000000000000002,0.06,0.06
3,0.2,0.15000000000000002,0.05000000000000002,0.05000000000000002,0.06,0.06
4,0.25,0.15000000000000002,0.1,0.1,0.06,0.06
5,0.2,0.15000000000000002,0.05000000000000002,0.05000000000000002,0.06,0.06
6,0.2,0.15000000000000002,0.05000000000000002,0.05000000000000002,0.06,0.06
7,0.2,0.15000000000000002,0.05000000000000002,0.05000000000000002,0.06,0.06
8,0.2,0.15000000000000002,0.05000000000000002,0.05000000000000002,0.06,0.06
9,0.15000000000000002,0.15000000000000002,0.0,0.0,0.06,0.06
10,0.30000000000000004,0.15000000000000002,0.15,0.15,0.06,0.06
11,0.15000000000000002,0.15000000000000002,0.0,0.0,0.06,0.06
12,0.30000000000000004,0.15000000000000002,0.15,0.15,0.06,0.06
13,0.15000000000000002,0.15000000000000002,0.0,0.0,0.06,0.06
14,0.35000000000000003,0.15000000000000002,0.19999999999999998,0.19999999999999998,0.06,0.06
15,0.2,0.15000000000000002,0.05000000000000002,0.05000000000000002,0.06,0.06
16,0.2,0.15000000000000002,0.05000000000000002,0.05000000000000002,0.06,0.06
17,0.30000000000000004,0.15000000000000002,0.15,0.15,0.06,0.06
18,0.2,0.15000000000000002,0.05000000000000002,0.05000000000000002,0.06,0.06
19,0.15000000000000002,0.15000000000000002,0.0,0.0,0.06,0.06
20,0.15000000000000002,0.15000000000000002,0.0,0.0,0.06,0.06
21,0.25,0.15000000000000002,0.1,0.1,0.06,0.06
22,0.2,0.15000000000000002,0.05000000000000002,0.05000000000000002,0.06,0.06
23,0.30000000000000004,0.15000000000000002,0.15,0.15,0.06,0.06
24,0.2,0.15000000000000002,0.05000000000000002,0.05000000000000002,0.06,0.06
25,0.2,0.15000000000000002,0.05000000000000002,0.05000000000000002,0.06,0.06
26,0.2,0.15000000000000002,0.05000000000000002,0.05000000000000002,0.06,0.06
27,0.2,0.15000000000000002,0.05000000000000002,0.05000000000000002,0.06,0.06
28,0.15000000000000002,0.15000000000000002,0.0,0.0,0.06,0.06
29,0.25,0.15000000000000002,0.1,0.1,0.06,0.06
30,0.2,0.15000000000000002,0.05000000000000002,0.05000000000000002,0.06,0.06
31,0.15000000000000002,0.15000000000000002,0.0,0.0,0.06,0.06
32,0.15000000000000002,0.15000000000000002,0.0,0.0,0.06,0.06
33,0.2,0.15000000000000002,0.05000000000000002,0.05000000000000002,0.06,0.06
34,0.35000000000000003,0.15000000000000002,0.19999999999999998,0.19999999999999998,0.06,0.06
35,0.25,0.15000000000000002,0.1,0.1,0.06,0.06
36,0.15000000000000002,0.15000000000000002,0.0,0.0,0.06,0.06
