window,dom_fre_gt,dom_fre_pre,mae_per_window,rmse_per_window,mean of MAE,mean of RMSE
1,0.25,0.15000000000000002,0.1,0.1,0.01,0.01
2,0.25,0.25,0.0,0.0,0.01,0.01
3,0.2,0.25,0.04999999999999999,0.04999999999999999,0.01,0.01
4,0.25,0.25,0.0,0.0,0.01,0.01
5,0.25,0.25,0.0,0.0,0.01,0.01
6,0.25,0.25,0.0,0.0,0.01,0.01
7,0.2,0.2,0.0,0.0,0.01,0.01
8,0.2,0.2,0.0,0.0,0.01,0.01
9,0.25,0.25,0.0,0.0,0.01,0.01
10,0.25,0.25,0.0,0.0,0.01,0.01
11,0.2,0.2,0.0,0.0,0.01,0.01
12,0.25,0.25,0.0,0.0,0.01,0.01
13,0.2,0.2,0.0,0.0,0.01,0.01
14,0.25,0.25,0.0,0.0,0.01,0.01
15,0.25,0.2,0.04999999999999999,0.04999999999999999,0.01,0.01
16,0.25,0.25,0.0,0.0,0.01,0.01
17,0.25,0.25,0.0,0.0,0.01,0.01
18,0.25,0.25,0.0,0.0,0.01,0.01
19,0.25,0.25,0.0,0.0,0.01,0.01
20,0.25,0.25,0.0,0.0,0.01,0.01
21,0.25,0.25,0.0,0.0,0.01,0.01
22,0.2,0.2,0.0,0.0,0.01,0.01
23,0.25,0.25,0.0,0.0,0.01,0.01
24,0.25,0.25,0.0,0.0,0.01,0.01
25,0.2,0.2,0.0,0.0,0.01,0.01
26,0.2,0.2,0.0,0.0,0.01,0.01
27,0.2,0.2,0.0,0.0,0.01,0.01
28,0.2,0.2,0.0,0.0,0.01,0.01
