Time(s),Force(N)
0,9.433059692
0.05,9.014038086
0.1,8.198997498
0.15,7.958824158
0.2,7.76209259
0.25,7.570465088
0.3,7.447822571
0.35,7.317520142
0.4,7.317520142
0.45,7.373733521
0.5,7.435050964
0.55,7.652229309
0.6,7.92816925
0.65,8.469825745
0.7,8.845413208
0.75,9.30531311
0.8,9.522483826
0.85,9.821418762
0.9,10.00282288
0.95,10.16889954
1,10.21744537
1.05,10.24810791
1.1,10.26087952
1.15,10.30686951
1.2,10.44995117
1.25,10.57769775
1.3,10.77443695
1.35,10.87152863
1.4,10.95328522
1.45,10.98905182
1.5,10.91496277
1.55,10.65435028
1.6,10.31964874
1.65,9.918510437
1.7,9.760101318
1.75,9.747322083
1.8,9.85974884
1.85,10.11269379
1.9,10.20467377
1.95,10.24044037
2,10.33242035
2.05,10.5623703
2.1,10.61858368
2.15,10.65179443
2.2,10.82553864
2.25,10.79743195
2.3,10.60836029
2.35,10.50615692
2.4,10.41673279
2.45,10.41417694
2.5,10.41162872
2.55,10.34008789
2.6,10.16889954
2.65,10.0667038
2.7,9.913398743
2.75,9.803535461
2.8,9.614463806
2.85,9.448387146
2.9,9.203109741
2.95,9.083023071
3,8.934837341
3.05,8.858184814
3.1,8.753433228
3.15,8.702331543
3.2,8.6588974
3.25,8.592468262
3.3,8.564361572
3.35,8.559249878
3.4,8.597572327
3.45,8.753433228
3.5,8.89906311
3.55,9.157119751
3.6,9.358963013
3.65,9.665565491
3.7,9.821418762
3.75,9.951728821
3.8,10.04115295
3.85,10.19956207
3.9,10.30942535
3.95,10.49082947
4,10.5853653
4.05,10.68501282
4.1,10.73866272
4.15,10.78720856
4.2,10.85108185
4.25,10.88941193
4.3,10.95072937
4.35,10.9865036
4.4,11.03249359
4.45,11.0810318
4.5,11.21645355
4.55,11.35697937
4.6,11.58947754
4.65,11.7325592
4.7,11.90630341
4.75,11.99317169
4.8,12.09792328
4.85,12.12091827
4.9,12.06726837
4.95,12.01872253
5,11.93440247
5.05,11.81687927
5.1,11.63291931
5.15,11.31864929
5.2,11.13468933
5.25,10.94561768
