Time(s),Force(N)
0.0,9.433059692
0.04,9.0988662716
0.08,8.7646728512
0.12,8.4304794308
0.16,8.0962860104
0.2,7.76209259
0.24,7.6731781004
0.28,7.5842636108
0.32,7.4953491212
0.36,7.4064346316
0.4,7.317520142
0.44,7.4396499636
0.48,7.5617797852
0.52,7.6839096068
0.56,7.8060394284
0.6,7.92816925
0.64,8.2470321652
0.68,8.5658950804
0.72,8.8847579956
0.76,9.2036209108
0.8,9.522483826
0.84,9.661476134800001
0.88,9.8004684436
0.92,9.9394607524
0.96,10.0784530612
1.0,10.21744537
1.04,10.26394653
1.08,10.31044769
1.12,10.35694885
1.16,10.40345001
1.2,10.44995117
1.24,10.436920927000001
1.28,10.423890684
1.32,10.410860441
1.36,10.397830198
1.4000000000000001,10.384799955
1.44,10.371769712
1.48,10.358739469
1.52,10.345709226
1.56,10.332678983
1.6,10.31964874
1.6400000000000001,10.22766876
1.68,10.13568878
1.72,10.0437088
1.76,9.95172882
1.8,9.85974884
1.84,9.954283142
1.8800000000000001,10.048817443999999
1.92,10.143351746
1.96,10.237886048
2.0,10.33242035
2.04,10.431044007999999
2.08,10.529667666
2.12,10.628291324
2.16,10.726914982
2.2,10.82553864
2.24,10.74377747
2.2800000000000002,10.6620163
2.32,10.58025513
2.36,10.49849396
2.4,10.41673279
2.44,10.36716614
2.48,10.31759949
2.52,10.26803284
2.56,10.21846619
2.6,10.16889954
2.64,10.0454933201
2.68,9.9220871002
2.72,9.7986808803
2.7600000000000002,9.6752746604
2.8000000000000003,9.5518684405
2.84,9.4284622206
2.88,9.3050560007
2.92,9.181649780799999
2.96,9.0582435609
3.0,8.934837341
3.04,8.8796493528
3.08,8.8244613646
3.12,8.769273376400001
3.16,8.714085388200001
3.2,8.6588974
3.24,8.6466323854
3.2800000000000002,8.6343673708
3.3200000000000003,8.622102356200001
3.36,8.6098373416
3.4,8.597572327
3.44,8.7498504642
3.48,8.9021286014
3.52,9.054406738600001
3.56,9.2066848758
3.6,9.358963013
3.64,9.4816032417
3.68,9.6042434704
3.72,9.7268836991
3.7600000000000002,9.8495239278
3.8000000000000003,9.9721641565
3.84,10.0948043852
3.88,10.2174446139
3.92,10.3400848426
3.96,10.4627250713
4.0,10.5853653
4.04,10.638508609999999
4.08,10.69165192
4.12,10.74479523
4.16,10.79793854
4.2,10.85108185
4.24,10.887364198
4.28,10.923646546
4.32,10.959928893999999
4.36,10.996211242
4.4,11.03249359
4.44,11.139036559
4.48,11.245579528
4.5200000000000005,11.352122497
4.5600000000000005,11.458665466
4.6000000000000005,11.565208434999999
4.64,11.671751404
4.68,11.778294373
4.72,11.884837341999999
4.76,11.991380311
4.8,12.09792328
4.84,12.065219118
4.88,12.032514956
4.92,11.999810794
4.96,11.967106632
5.0,11.93440247
5.04,11.774459842
5.08,11.614517214000001
5.12,11.454574586
5.16,11.294631958
5.2,11.13468933
5.24,11.078479004
5.28,11.022268678
5.32,10.966058352000001
5.36,10.909848026
5.4,10.8536377
5.44,10.752459721000001
5.48,10.651281742
5.5200000000000005,10.550103763
5.5600000000000005,10.448925784
5.6000000000000005,10.347747805000001
5.64,10.246569826
5.68,10.145391846999999
5.72,10.044213868
5.76,9.943035889
5.8,9.84185791
5.84,9.720751953
5.88,9.599645996
5.92,9.478540039
5.96,9.357434082
6.0,9.236328125
6.04,9.1796066284
6.08,9.1228851318
6.12,9.066163635199999
6.16,9.009442138599999
6.2,8.952720642
6.24,8.910307311999999
6.28,8.867893982
6.32,8.825480652
6.36,8.783067322
6.4,8.740653992
6.44,8.7023292544
6.48,8.6640045168
6.5200000000000005,8.6256797792
6.5600000000000005,8.5873550416
6.6000000000000005,8.549030304
6.640000000000001,8.5107055664
6.68,8.4723808288
6.72,8.4340560912
6.76,8.3957313536
6.8,8.357406616
6.84,8.345652770800001
6.88,8.3338989256
6.92,8.3221450804
6.96,8.3103912352
7.0,8.29863739
7.04,8.2868850706
7.08,8.2751327512
7.12,8.2633804318
7.16,8.251628112399999
7.2,8.239875793
7.24,8.2296554562
7.28,8.2194351194
7.32,8.2092147826
7.36,8.1989944458
7.4,8.188774109
7.44,8.1788101197
7.48,8.1688461304
7.5200000000000005,8.158882141100001
7.5600000000000005,8.1489181518
7.6000000000000005,8.1389541625
7.640000000000001,8.1289901732
7.68,8.1190261839
7.72,8.1090621946
7.76,8.099098205299999
7.8,8.089134216
7.84,8.1514755246
7.88,8.2138168332
7.92,8.2761581418
7.96,8.338499450399999
8.0,8.400840759
8.040000000000001,8.5239913938
8.08,8.6471420286
8.120000000000001,8.7702926634
8.16,8.8934432982
8.2,9.016593933
8.24,9.1244155882
8.28,9.2322372434
8.32,9.340058898599999
8.36,9.4478805538
8.4,9.555702209
8.44,9.6430831906
8.48,9.7304641722
8.52,9.8178451538
8.56,9.9052261354
8.6,9.992607117
8.64,10.1852539056
8.68,10.3779006942
8.72,10.5705474828
8.76,10.7631942714
8.8,10.95584106
8.84,10.865904232
8.88,10.775967404
8.92,10.686030576
8.96,10.596093748
9.0,10.50615692
9.040000000000001,10.561344908
9.08,10.616532896
9.120000000000001,10.671720884
9.16,10.726908872000001
9.200000000000001,10.78209686
9.24,10.837284848
9.28,10.892472836
9.32,10.947660824
9.36,11.002848812
9.4,11.0580368
9.44,11.123956296
9.48,11.189875792
9.52,11.255795288
9.56,11.321714784000001
9.6,11.38763428
9.64,11.328358462
9.68,11.269082644000001
9.72,11.209806826
9.76,11.150531008
9.8,11.09125519
9.84,10.7335556046
9.88,10.3758560192
9.92,10.0181564338
9.96,9.6604568484
10.0,9.302757263
10.040000000000001,9.3326507567
10.08,9.362544250400001
10.120000000000001,9.3924377441
10.16,9.4223312378
10.200000000000001,9.4522247315
10.24,9.4821182252
10.28,9.5120117189
10.32,9.5419052126
10.36,9.571798706300001
10.4,9.6016922
10.44,9.545993042200001
10.48,9.4902938844
10.52,9.4345947266
10.56,9.378895568799999
10.6,9.323196411
10.64,9.2562545776
10.68,9.1893127442
10.72,9.122370910799999
10.76,9.0554290774
10.8,8.988487244
10.84,8.9455642702
10.88,8.9026412964
10.92,8.8597183226
10.96,8.8167953488
11.0,8.773872375
11.040000000000001,8.880670928499999
11.08,8.987469482
11.120000000000001,9.0942680355
11.16,9.201066589
11.200000000000001,9.307865142499999
11.24,9.414663696
11.28,9.5214622495
11.32,9.628260803
11.36,9.735059356499999
11.4,9.84185791
11.44,9.935882568
11.48,10.029907226
11.52,10.123931884
11.56,10.217956542
11.6,10.3119812
11.64,10.370745848
11.68,10.429510496
11.72,10.488275144
