Time(s),Force(N)
0.0,11.51538849
0.04,11.1643310556
0.08,10.8132736212
0.12,10.4622161868
0.16,10.1111587524
0.2,9.760101318
0.24,9.7161544796
0.28,9.6722076412
0.32,9.6282608028
0.36,9.5843139644
0.4,9.540367126
0.44,9.3625396724
0.48,9.1847122188
0.52,9.0068847652
0.56,8.8290573116
0.6,8.651229858
0.64,8.5684478756
0.68,8.4856658932
0.72,8.4028839108
0.76,8.3201019284
0.8,8.237319946
0.84,8.3267456052
0.88,8.416171264399999
0.92,8.5055969236
0.96,8.5950225828
1.0,8.684448242
1.04,8.805554199
1.08,8.926660156
1.12,9.047766113
1.16,9.16887207
1.2,9.289978027
1.24,9.3827247613
1.28,9.4754714956
1.32,9.5682182299
1.36,9.6609649642
1.4000000000000001,9.7537116985
1.44,9.8464584328
1.48,9.9392051671
1.52,10.0319519014
1.56,10.1246986357
1.6,10.21744537
1.6400000000000001,10.39833984
1.68,10.57923431
1.72,10.76012878
1.76,10.94102325
1.8,11.12191772
1.84,11.261930844
1.8800000000000001,11.401943968000001
1.92,11.541957092
1.96,11.681970216
2.0,11.82198334
2.04,11.929293826
2.08,12.036604312
2.12,12.143914798
2.16,12.251225284
2.2,12.35853577
2.24,12.410147098
2.2800000000000002,12.461758426
2.32,12.513369754
2.36,12.564981082
2.4,12.61659241
2.44,12.490374758000002
2.48,12.364157106
2.52,12.237939454
2.56,12.111721802
2.6,11.98550415
2.64,11.822495269
2.68,11.659486388
2.72,11.496477507
2.7600000000000002,11.333468626
2.8000000000000003,11.170459745
2.84,11.007450864
2.88,10.844441983
2.92,10.681433102
2.96,10.518424221
3.0,10.35541534
3.04,10.2833648648
3.08,10.2113143896
3.12,10.1392639144
3.16,10.0672134392
3.2,9.995162964
3.24,9.9578598024
3.2800000000000002,9.920556640800001
3.3200000000000003,9.8832534792
3.36,9.8459503176
3.4,9.808647156
3.44,9.7284194948
3.48,9.6481918336
3.52,9.5679641724
3.56,9.4877365112
3.6,9.40750885
3.64,9.3980552672
3.68,9.3886016844
3.72,9.379148101599998
3.7600000000000002,9.3696945188
3.8000000000000003,9.360240935999999
3.84,9.3507873532
3.88,9.3413337704
3.92,9.3318801876
3.96,9.3224266048
4.0,9.312973022
4.04,9.293556213
4.08,9.274139404
4.12,9.254722595
4.16,9.235305786
4.2,9.215888977
4.24,9.1755187988
4.28,9.1351486206
4.32,9.0947784424
4.36,9.0544082642
4.4,9.014038086
4.44,8.9838890076
4.48,8.9537399292
4.5200000000000005,8.9235908508
4.5600000000000005,8.8934417724
4.6000000000000005,8.863292694
4.64,8.833143615600001
4.68,8.8029945372
4.72,8.7728454588
4.76,8.7426963804
4.8,8.712547302
4.84,8.722256469600001
4.88,8.7319656372
4.92,8.7416748048
4.96,8.7513839724
5.0,8.76109314
5.04,8.7682479862
5.08,8.7754028324
5.12,8.7825576786
5.16,8.789712524799999
5.2,8.796867371
5.24,8.7789825442
5.28,8.7610977174
5.32,8.743212890599999
5.36,8.7253280638
5.4,8.707443237
5.44,8.7174072263
5.48,8.7273712156
5.5200000000000005,8.737335204899999
5.5600000000000005,8.7472991942
5.6000000000000005,8.757263183500001
5.64,8.7672271728
5.68,8.7771911621
5.72,8.7871551514
5.76,8.797119140700001
5.8,8.80708313
5.84,8.8132156374
5.88,8.819348144800001
5.92,8.8254806522
5.96,8.8316131596
6.0,8.837745667
6.04,8.8351913456
6.08,8.8326370242
6.12,8.8300827028
6.16,8.8275283814
6.2,8.82497406
6.24,8.805555725
6.28,8.78613739
6.32,8.766719055
6.36,8.74730072
6.4,8.727882385
6.44,8.738868713199999
6.48,8.7498550414
6.5200000000000005,8.7608413696
6.5600000000000005,8.7718276978
6.6000000000000005,8.782814026
6.640000000000001,8.7938003542
6.68,8.8047866824
6.72,8.8157730106
6.76,8.8267593388
6.8,8.837745667
6.84,8.8438781742
6.88,8.8500106814
6.92,8.856143188599999
6.96,8.8622756958
7.0,8.868408203
7.04,8.8418350218
7.08,8.8152618406
7.12,8.7886886594
7.16,8.7621154782
7.2,8.735542297
7.24,8.7396316526
7.28,8.7437210082
7.32,8.747810363800001
7.36,8.7518997194
7.4,8.755989075
7.44,8.764420318900001
7.48,8.7728515628
7.5200000000000005,8.7812828067
7.5600000000000005,8.7897140506
7.6000000000000005,8.7981452945
7.640000000000001,8.8065765384
7.68,8.8150077823
7.72,8.8234390262
7.76,8.8318702701
7.8,8.840301514
7.84,8.837236023200001
7.88,8.8341705324
7.92,8.8311050416
7.96,8.8280395508
8.0,8.82497406
8.040000000000001,8.806578064
8.08,8.788182068
