window,dom_fre_gt,dom_fre_pre,mae_per_window,rmse_per_window,mean of MAE,mean of RMSE
1,0.15000000000000002,0.2,0.05000000000000002,0.05000000000000002,0.07,0.07
2,0.2,0.30000000000000004,0.09999999999999998,0.09999999999999998,0.07,0.07
3,0.15000000000000002,0.15000000000000002,0.0,0.0,0.07,0.07
4,0.25,0.35000000000000003,0.09999999999999998,0.09999999999999998,0.07,0.07
5,0.2,0.35000000000000003,0.14999999999999997,0.14999999999999997,0.07,0.07
6,0.25,0.25,0.0,0.0,0.07,0.07
7,0.2,0.2,0.0,0.0,0.07,0.07
8,0.30000000000000004,0.30000000000000004,0.0,0.0,0.07,0.07
9,0.15000000000000002,0.30000000000000004,0.15,0.15,0.07,0.07
10,0.30000000000000004,0.30000000000000004,0.0,0.0,0.07,0.07
11,0.30000000000000004,0.15000000000000002,0.15,0.15,0.07,0.07
12,0.30000000000000004,0.30000000000000004,0.0,0.0,0.07,0.07
13,0.15000000000000002,0.15000000000000002,0.0,0.0,0.07,0.07
14,0.15000000000000002,0.15000000000000002,0.0,0.0,0.07,0.07
15,0.2,0.2,0.0,0.0,0.07,0.07
16,0.2,0.2,0.0,0.0,0.07,0.07
17,0.30000000000000004,0.25,0.04999999999999999,0.04999999999999999,0.07,0.07
18,0.35000000000000003,0.2,0.14999999999999997,0.14999999999999997,0.07,0.07
19,0.15000000000000002,0.4,0.25,0.25,0.07,0.07
20,0.25,0.35000000000000003,0.09999999999999998,0.09999999999999998,0.07,0.07
21,0.30000000000000004,0.25,0.04999999999999999,0.04999999999999999,0.07,0.07
22,0.25,0.2,0.04999999999999999,0.04999999999999999,0.07,0.07
23,0.30000000000000004,0.15000000000000002,0.15,0.15,0.07,0.07
24,0.2,0.2,0.0,0.0,0.07,0.07
25,0.2,0.2,0.0,0.0,0.07,0.07
26,0.2,0.2,0.0,0.0,0.07,0.07
27,0.2,0.15000000000000002,0.05000000000000002,0.05000000000000002,0.07,0.07
28,0.15000000000000002,0.2,0.05000000000000002,0.05000000000000002,0.07,0.07
29,0.25,0.25,0.0,0.0,0.07,0.07
30,0.15000000000000002,0.30000000000000004,0.15,0.15,0.07,0.07
31,0.15000000000000002,0.35000000000000003,0.19999999999999998,0.19999999999999998,0.07,0.07
32,0.15000000000000002,0.25,0.1,0.1,0.07,0.07
33,0.15000000000000002,0.30000000000000004,0.15,0.15,0.07,0.07
34,0.15000000000000002,0.15000000000000002,0.0,0.0,0.07,0.07
35,0.25,0.25,0.0,0.0,0.07,0.07
36,0.30000000000000004,0.15000000000000002,0.15,0.15,0.07,0.07
