window,dom_fre_gt,dom_fre_pre
1,0.15000000000000002,0.2
2,0.2,0.30000000000000004
3,0.15000000000000002,0.15000000000000002
4,0.1,0.1
5,0.2,0.05
6,0.25,0.25
7,0.2,0.2
8,0.2,0.1
9,0.15000000000000002,0.35000000000000003
10,0.30000000000000004,0.30000000000000004
11,0.05,0.05
12,0.30000000000000004,0.30000000000000004
13,0.15000000000000002,0.35000000000000003
14,0.15000000000000002,0.15000000000000002
15,0.1,0.2
16,0.15000000000000002,0.05
17,0.1,0.05
18,0.05,0.05
19,0.15000000000000002,0.05
20,0.25,0.45
21,0.05,0.05
22,0.05,0.2
23,0.30000000000000004,0.15000000000000002
24,0.1,0.1
25,0.2,0.2
26,0.1,0.2
27,0.2,0.15000000000000002
28,0.15000000000000002,0.15000000000000002
29,0.05,0.25
30,0.1,0.1
31,0.15000000000000002,0.35000000000000003
32,0.1,0.25
33,0.15000000000000002,0.30000000000000004
34,0.15000000000000002,0.15000000000000002
35,0.25,0.25
36,0.05,0.05
